,Region,County,First Dose,Series Complete,Report as of
416,Capital Region,Saratoga,489,1,12/20/2020
417,Capital Region,Schenectady,319,0,12/20/2020
418,Mohawk Valley,Schoharie,19,0,12/20/2020
419,Southern Tier,Schuyler,0,0,12/20/2020
420,Finger Lakes,Seneca,7,0,12/20/2020
421,North Country,St. Lawrence,596,1,12/20/2020
422,Southern Tier,Steuben,6,0,12/20/2020
423,Long Island,Suffolk,1743,7,12/20/2020
424,Mid-Hudson,Sullivan,54,0,12/20/2020
425,Southern Tier,Tioga,3,0,12/20/2020
426,Southern Tier,Tompkins,7,0,12/20/2020
427,Mid-Hudson,Ulster,218,2,12/20/2020
428,Capital Region,Warren,107,0,12/20/2020
429,Capital Region,Washington,39,0,12/20/2020
430,Finger Lakes,Wayne,46,1,12/20/2020
431,Mid-Hudson,Westchester,1659,7,12/20/2020
432,Finger Lakes,Wyoming,21,0,12/20/2020
433,Finger Lakes,Yates,6,0,12/20/2020
434,Capital Region,Albany,873,2,12/21/2020
435,Western New York,Allegany,50,0,12/21/2020
436,New York City,Bronx,908,2,12/21/2020
437,Southern Tier,Broome,21,0,12/21/2020
438,Western New York,Cattaraugus,177,0,12/21/2020
439,Central New York,Cayuga,63,0,12/21/2020
440,Western New York,Chautauqua,165,0,12/21/2020
441,Southern Tier,Chemung,5,1,12/21/2020
442,Southern Tier,Chenango,19,0,12/21/2020
443,North Country,Clinton,93,1,12/21/2020
444,Capital Region,Columbia,104,0,12/21/2020
445,Central New York,Cortland,17,0,12/21/2020
446,Southern Tier,Delaware,7,0,12/21/2020
447,Mid-Hudson,Dutchess,416,2,12/21/2020
448,Western New York,Erie,2923,3,12/21/2020
449,North Country,Essex,36,0,12/21/2020
450,North Country,Franklin,171,0,12/21/2020
451,Mohawk Valley,Fulton,77,0,12/21/2020
452,Finger Lakes,Genesee,29,0,12/21/2020
453,Capital Region,Greene,46,0,12/21/2020
454,North Country,Hamilton,1,0,12/21/2020
455,Mohawk Valley,Herkimer,86,0,12/21/2020
456,North Country,Jefferson,30,0,12/21/2020
457,New York City,Kings,3929,16,12/21/2020
458,North Country,Lewis,5,0,12/21/2020
459,Finger Lakes,Livingston,56,0,12/21/2020
460,Central New York,Madison,120,0,12/21/2020
461,Finger Lakes,Monroe,2044,2,12/21/2020
462,Mohawk Valley,Montgomery,102,0,12/21/2020
463,Long Island,Nassau,3045,5,12/21/2020
464,New York City,New York,4830,12,12/21/2020
465,Western New York,Niagara,411,0,12/21/2020
466,Mohawk Valley,Oneida,401,0,12/21/2020
467,Central New York,Onondaga,1078,3,12/21/2020
468,Finger Lakes,Ontario,122,0,12/21/2020
469,Mid-Hudson,Orange,939,9,12/21/2020
470,Finger Lakes,Orleans,25,0,12/21/2020
471,Central New York,Oswego,56,0,12/21/2020
472,Mohawk Valley,Otsego,163,0,12/21/2020
473,Mid-Hudson,Putnam,108,3,12/21/2020
474,New York City,Queens,2800,15,12/21/2020
475,Capital Region,Rensselaer,238,1,12/21/2020
476,New York City,Richmond,1269,1,12/21/2020
477,Mid-Hudson,Rockland,668,1,12/21/2020
478,Capital Region,Saratoga,564,2,12/21/2020
479,Capital Region,Schenectady,366,0,12/21/2020
480,Mohawk Valley,Schoharie,21,0,12/21/2020
481,Southern Tier,Schuyler,0,0,12/21/2020
482,Finger Lakes,Seneca,7,0,12/21/2020
483,North Country,St. Lawrence,645,1,12/21/2020
484,Southern Tier,Steuben,10,0,12/21/2020
485,Long Island,Suffolk,2124,8,12/21/2020
486,Mid-Hudson,Sullivan,69,0,12/21/2020
487,Southern Tier,Tioga,3,0,12/21/2020
488,Southern Tier,Tompkins,17,0,12/21/2020
489,Mid-Hudson,Ulster,264,2,12/21/2020
490,Capital Region,Warren,128,0,12/21/2020
491,Capital Region,Washington,54,0,12/21/2020
492,Finger Lakes,Wayne,60,1,12/21/2020
493,Mid-Hudson,Westchester,1986,9,12/21/2020
494,Finger Lakes,Wyoming,29,0,12/21/2020
495,Finger Lakes,Yates,6,0,12/21/2020
496,Capital Region,Albany,1077,2,12/22/2020
497,Western New York,Allegany,69,0,12/22/2020
498,New York City,Bronx,1315,3,12/22/2020
499,Southern Tier,Broome,36,0,12/22/2020
500,Western New York,Cattaraugus,226,0,12/22/2020
501,Central New York,Cayuga,105,0,12/22/2020
502,Western New York,Chautauqua,183,0,12/22/2020
503,Southern Tier,Chemung,5,1,12/22/2020
504,Southern Tier,Chenango,38,0,12/22/2020
505,North Country,Clinton,202,1,12/22/2020
506,Capital Region,Columbia,116,0,12/22/2020
507,Central New York,Cortland,123,0,12/22/2020
508,Southern Tier,Delaware,13,0,12/22/2020
509,Mid-Hudson,Dutchess,555,5,12/22/2020
510,Western New York,Erie,3865,5,12/22/2020
511,North Country,Essex,59,0,12/22/2020
512,North Country,Franklin,203,0,12/22/2020
513,Mohawk Valley,Fulton,86,0,12/22/2020
514,Finger Lakes,Genesee,38,0,12/22/2020
515,Capital Region,Greene,53,0,12/22/2020
516,North Country,Hamilton,1,0,12/22/2020
