ZIP,People with at least one vaccine dose,People with completed vaccine series,People with up-to-date vaccines,reportedDate
55746,10145,9658,3657,9/14/2022
56571,1255,1199,464,9/14/2022
55382,2020,1939,738,9/14/2022
56293,641,620,206,9/14/2022
56440,581,555,166,9/14/2022
55460,<= 5,<= 5,<= 5,9/14/2022
56517,121,114,42,9/14/2022
56090,321,310,104,9/14/2022
56017,1164,1112,443,9/14/2022
55037,2373,2217,769,9/14/2022
55709,2389,2299,867,9/14/2022
56729,63,60,25,9/14/2022
56024,2315,2213,923,9/14/2022
55309,10783,10169,3762,9/14/2022
55404,20610,18187,8299,9/14/2022
56329,3419,3249,1200,9/14/2022
56710,226,217,73,9/14/2022
55730,10,8,<= 5,9/14/2022
55735,856,808,316,9/14/2022
55038,17975,17120,8143,9/14/2022
56715,163,154,47,9/14/2022
56441,1712,1638,663,9/14/2022
56292,249,236,63,9/14/2022
56623,1682,1610,495,9/14/2022
55603,318,305,126,9/14/2022
55442,10878,10358,5884,9/14/2022
55487,19,13,6,9/14/2022
55559,<= 5,<= 5,<= 5,9/14/2022
56274,96,89,42,9/14/2022
56579,604,562,181,9/14/2022
55926,490,476,191,9/14/2022
56399,<= 5,<= 5,<= 5,9/14/2022
55433,23268,21965,9515,9/14/2022
55992,3406,3270,1458,9/14/2022
56168,506,481,125,9/14/2022
55929,825,788,321,9/14/2022
55385,653,620,185,9/14/2022
55488,11,8,<= 5,9/14/2022
56576,521,489,198,9/14/2022
56355,294,285,105,9/14/2022
56586,1006,958,340,9/14/2022
55807,7050,6630,3325,9/14/2022
55375,3043,2914,1226,9/14/2022
55478,7,6,<= 5,9/14/2022
56458,226,208,80,9/14/2022
55744,12498,11979,5188,9/14/2022
55049,1558,1492,611,9/14/2022
56069,2693,2536,1010,9/14/2022
56748,330,320,84,9/14/2022
56045,435,416,167,9/14/2022
55065,662,631,242,9/14/2022
55768,1702,1627,653,9/14/2022
55722,696,664,271,9/14/2022
55751,812,780,280,9/14/2022
55046,3413,3227,1153,9/14/2022
56089,98,92,38,9/14/2022
56157,415,392,116,9/14/2022
55177,<= 5,<= 5,<= 5,9/14/2022
56670,1730,1598,984,9/14/2022
55083,19,18,6,9/14/2022
56208,1220,1155,439,9/14/2022
55933,139,136,51,9/14/2022
56762,1374,1324,452,9/14/2022
55742,154,144,56,9/14/2022
55955,2024,1949,934,9/14/2022
56207,150,147,51,9/14/2022
55616,5053,4820,2124,9/14/2022
56636,2902,2740,1004,9/14/2022
56334,3644,3473,1591,9/14/2022
55419,24784,23220,16009,9/14/2022
55314,785,749,237,9/14/2022
56029,399,380,146,9/14/2022
55009,5305,5110,2300,9/14/2022
56724,76,74,20,9/14/2022
55704,525,491,180,9/14/2022
55025,16599,15800,6977,9/14/2022
56763,2593,2461,659,9/14/2022
55906,16437,15693,9512,9/14/2022
56227,130,127,46,9/14/2022
55975,2687,2591,1013,9/14/2022
56401,16489,15641,6140,9/14/2022
55421,23071,21220,10029,9/14/2022
56326,722,693,271,9/14/2022
55306,12586,11724,5364,9/14/2022
56680,92,89,43,9/14/2022
55073,2347,2246,1019,9/14/2022
56056,50,46,16,9/14/2022
56685,92,85,34,9/14/2022
55076,16672,15831,7672,9/14/2022
55717,218,205,96,9/14/2022
56737,424,409,109,9/14/2022
56751,3355,3250,1166,9/14/2022
55771,831,805,299,9/14/2022
56360,2027,1945,827,9/14/2022
55340,7691,7177,3802,9/14/2022
55593,<= 5,<= 5,<= 5,9/14/2022
55903,436,408,195,9/14/2022
56251,489,467,190,9/14/2022
56482,3340,3171,1173,9/14/2022
56083,408,394,101,9/14/2022
56650,332,316,116,9/14/2022
56662,397,390,171,9/14/2022
55920,6760,6500,3456,9/14/2022
56553,131,125,37,9/14/2022
55573,<= 5,<= 5,<= 5,9/14/2022
55967,569,550,233,9/14/2022
56538,52,51,17,9/14/2022
56235,319,309,118,9/14/2022
56284,1006,959,349,9/14/2022
55808,4142,3890,1875,9/14/2022
56589,1112,1055,317,9/14/2022
55472,9,7,<= 5,9/14/2022
56281,286,278,68,9/14/2022
56452,1405,1341,622,9/14/2022
55604,3114,2981,1741,9/14/2022
55109,27122,25537,12234,9/14/2022
56129,414,387,123,9/14/2022
55346,14633,13914,7936,9/14/2022
55595,<= 5,<= 5,<= 5,9/14/2022
56032,141,128,28,9/14/2022
55012,1133,1103,500,9/14/2022
55705,1929,1849,776,9/14/2022
56028,896,856,386,9/14/2022
56725,544,526,150,9/14/2022
55008,8830,8388,3399,9/14/2022
56158,195,182,61,9/14/2022
56655,1060,1005,380,9/14/2022
55031,1124,1067,417,9/14/2022
56011,5572,5292,2017,9/14/2022
55710,822,784,347,9/14/2022
55085,253,248,101,9/14/2022
56676,797,758,270,9/14/2022
56522,271,251,61,9/14/2022
56631,<= 5,<= 5,<= 5,9/14/2022
56544,2637,2512,950,9/14/2022
56249,157,153,50,9/14/2022
56397,<= 5,<= 5,<= 5,9/14/2022
55941,672,636,255,9/14/2022
55972,3587,3443,1512,9/14/2022
56220,1642,1579,646,9/14/2022
55703,413,395,174,9/14/2022
56723,533,505,119,9/14/2022
56436,<= 5,<= 5,<= 5,9/14/2022
55416,28736,26904,17306,9/14/2022
55084,943,895,413,9/14/2022
55766,20,19,<= 5,9/14/2022
55338,613,583,162,9/14/2022
55435,12066,11315,6954,9/14/2022
56318,552,528,197,9/14/2022
56524,465,436,147,9/14/2022
56229,953,899,288,9/14/2022
56068,587,563,197,9/14/2022
55745,8,8,<= 5,9/14/2022
55166,<= 5,<= 5,<= 5,9/14/2022
56098,989,942,345,9/14/2022
56146,35,26,13,9/14/2022
56601,19929,18702,8138,9/14/2022
56514,2328,2176,815,9/14/2022
56219,485,458,123,9/14/2022
56511,1169,1113,405,9/14/2022
55312,821,791,243,9/14/2022
56332,750,705,276,9/14/2022
55753,548,529,166,9/14/2022
55987,22425,21387,10780,9/14/2022
55426,21443,20146,12019,9/14/2022
55982,246,240,99,9/14/2022
55423,30148,28238,15249,9/14/2022
56716,5081,4803,1554,9/14/2022
55736,837,795,334,9/14/2022
56226,118,112,60,9/14/2022
55974,1344,1295,564,9/14/2022
55018,634,610,263,9/14/2022
56735,419,406,188,9/14/2022
55129,26440,24940,13449,9/14/2022
55957,385,372,127,9/14/2022
56151,466,450,107,9/14/2022
55171,<= 5,<= 5,<= 5,9/14/2022
55725,104,99,26,9/14/2022
56260,438,419,123,9/14/2022
55932,1315,1265,521,9/14/2022
56660,119,115,31,9/14/2022
56002,166,155,59,9/14/2022
56007,13582,12955,5857,9/14/2022
55027,1778,1697,656,9/14/2022
56580,689,647,230,9/14/2022
55373,3631,3439,1445,9/14/2022
56353,4156,3925,1506,9/14/2022
55378,24771,23473,11328,9/14/2022
56455,791,751,256,9/14/2022
56358,1407,1346,466,9/14/2022
55447,17463,16483,9277,9/14/2022
56467,1432,1347,528,9/14/2022
55350,11398,10884,4384,9/14/2022
55952,1488,1413,558,9/14/2022
56566,344,302,97,9/14/2022
55395,1541,1486,554,9/14/2022
55939,1134,1101,468,9/14/2022
56003,11416,10923,5071,9/14/2022
56084,6,6,<= 5,9/14/2022
56657,257,250,129,9/14/2022
55784,65,63,24,9/14/2022
56177,<= 5,<= 5,<= 5,9/14/2022
55089,1120,1073,484,9/14/2022
56264,1177,1113,369,9/14/2022
55936,1173,1121,436,9/14/2022
56569,775,734,261,9/14/2022
56111,199,193,60,9/14/2022
56520,2122,1991,678,9/14/2022
56201,14689,13790,5994,9/14/2022
55953,531,497,201,9/14/2022
56010,604,573,225,9/14/2022
55030,595,557,198,9/14/2022
55043,2485,2368,1051,9/14/2022
56063,2130,2033,818,9/14/2022
55970,584,556,227,9/14/2022
56222,1016,976,343,9/14/2022
56313,33,28,8,9/14/2022
55333,420,397,146,9/14/2022
55319,3020,2898,1114,9/14/2022
55414,21663,19288,11040,9/14/2022
56434,62,60,19,9/14/2022
56339,579,563,207,9/14/2022
55945,818,789,295,9/14/2022
